model_name,total_params
mob_110n-384-4-20M,20192944
mob_110n-512-6-39M,38890464
mob_110n-640-10-76M,76404680
mob_110n-768-12-118M,118120224
mob_110n-1024-16-258M,257919488
mob_110n-1024-24-370M,370494720
