model_name,total_params
mob_814_task-32-2-1M,1103072
mob_814_task-64-2-2M,2259328
mob_814_task-128-2-5M,4928192
mob_814_task-256-2-11M,10592640
mob_814_task-384-4-22M,21700352
mob_814_task-512-6-42M,41990400
mob_814_task-640-10-83M,83040960
mob_814_task-768-12-128M,127933440
