model_name,total_params
mob_813_token-32-2-1M,1103072
mob_813_token-64-2-2M,2259328
mob_813_token-128-2-5M,4928192
mob_813_token-256-2-11M,10592640
mob_813_token-384-4-22M,21700352
mob_813_token-512-6-42M,41990400
mob_813_token-640-10-83M,83040960
mob_813_token-768-12-128M,127933440
