model_name,total_params
mob_811a-384-4-22M,21700352
mob_811a-512-6-42M,41990400
mob_811a-640-10-83M,83040960
mob_811a-768-12-128M,127933440
mob_811a-1024-16-276M,276280320
mob_811a-1024-24-398M,398035968
