model_name,total_params
mob_330n-384-4-21M,20623120
mob_330n-512-6-40M,39775392
mob_330n-640-10-78M,78299480
mob_330n-768-12-121M,120922464
mob_330n-1024-16-263M,263163392
mob_330n-1024-24-378M,378360576
