model_name,total_params
mob_110-32-2-1M,1086664
mob_110-64-2-2M,2197896
mob_110-128-2-5M,4690696
mob_110-256-2-10M,10104208
mob_110-384-4-20M,20192944
mob_110-512-6-39M,38890464
mob_110-640-10-76M,76404680
mob_110-768-12-118M,118120224
